categoria,objetivo,objetivo_nome,sub_indice,n_objetivos_com_dados
2604106,10,Competências em Governo Digital,,7
2606002,1,Governança do Governo Digital,100.0,7
2606002,2,Qualidade dos Serviços Digitais,76.0,7
2606002,3,Identificação Única,0.0,7
2606002,4,Segurança e LGPD,0.0,7
2606002,5,Dados e Interoperabilidade,100.0,7
2606002,6,Infraestrutura,66.57,7
2606002,7,Inovação e Tecnologias Emergentes,,7
2606002,8,Eficiência e Processos,,7
2606002,9,Transparência e Participação,66.67,7
2606002,10,Competências em Governo Digital,,7
2606804,1,Governança do Governo Digital,100.0,7
2606804,2,Qualidade dos Serviços Digitais,30.0,7
2606804,3,Identificação Única,0.0,7
2606804,4,Segurança e LGPD,0.0,7
2606804,5,Dados e Interoperabilidade,0.0,7
2606804,6,Infraestrutura,46.67,7
2606804,7,Inovação e Tecnologias Emergentes,,7
2606804,8,Eficiência e Processos,,7
2606804,9,Transparência e Participação,55.56,7
2606804,10,Competências em Governo Digital,,7
2607901,1,Governança do Governo Digital,100.0,7
2607901,2,Qualidade dos Serviços Digitais,88.67,7
2607901,3,Identificação Única,100.0,7
2607901,4,Segurança e LGPD,40.0,7
2607901,5,Dados e Interoperabilidade,100.0,7
2607901,6,Infraestrutura,86.11,7
2607901,7,Inovação e Tecnologias Emergentes,,7
2607901,8,Eficiência e Processos,,7
2607901,9,Transparência e Participação,88.89,7
2607901,10,Competências em Governo Digital,,7
2609600,1,Governança do Governo Digital,100.0,7
2609600,2,Qualidade dos Serviços Digitais,57.33,7
2609600,3,Identificação Única,100.0,7
2609600,4,Segurança e LGPD,40.0,7
2609600,5,Dados e Interoperabilidade,0.0,7
2609600,6,Infraestrutura,66.24,7
2609600,7,Inovação e Tecnologias Emergentes,,7
2609600,8,Eficiência e Processos,,7
2609600,9,Transparência e Participação,66.67,7
2609600,10,Competências em Governo Digital,,7
2610707,1,Governança do Governo Digital,100.0,7
2610707,2,Qualidade dos Serviços Digitais,62.67,7
2610707,3,Identificação Única,100.0,7
2610707,4,Segurança e LGPD,60.0,7
2610707,5,Dados e Interoperabilidade,0.0,7
2610707,6,Infraestrutura,67.02,7
2610707,7,Inovação e Tecnologias Emergentes,,7
2610707,8,Eficiência e Processos,,7
2610707,9,Transparência e Participação,44.44,7
